Tipo Titulo;Vencimento do Titulo;Data Resgate;PU;Quantidade;Valor
Tesouro Prefixado com Juros Semestrais;01/01/2014;01/07/2013;48,808850;112625,74;5497132,85
Tesouro Prefixado com Juros Semestrais;01/01/2021;01/07/2013;48,808850;238194,38;11625993,77
Tesouro IPCA+ com Juros Semestrais;15/08/2020;15/08/2014;72,482490;377600,68;27369437,51
Tesouro IPCA+ com Juros Semestrais;15/08/2050;15/08/2014;72,482490;110918,32;8039636,02
Tesouro IPCA+ com Juros Semestrais;15/08/2024;15/08/2014;72,482490;56336,70;4083424,29
Tesouro Prefixado com Juros Semestrais;01/01/2017;01/07/2014;48,808850;273439,81;13346282,67
Tesouro Prefixado com Juros Semestrais;01/01/2021;01/07/2014;48,808850;197404,78;9635100,30
Tesouro Prefixado com Juros Semestrais;01/01/2025;01/07/2014;48,808850;91331,29;4457775,24
Tesouro IGPM+ com Juros Semestrais;01/07/2017;01/07/2014;88,740354;7132,68;632956,55
Tesouro Prefixado com Juros Semestrais;01/01/2023;01/07/2014;48,808850;311364,11;15197324,14
Tesouro IGPM+ com Juros Semestrais;01/01/2031;01/07/2014;175,002775;10503,10;1838071,64
Tesouro IGPM+ com Juros Semestrais;01/04/2021;01/10/2014;88,142642;7159,40;631048,44
Tesouro IPCA+ com Juros Semestrais;15/05/2015;15/05/2014;71,855936;280266,48;20138810,25
Tesouro IPCA+ com Juros Semestrais;15/05/2045;15/05/2014;71,855936;67083,02;4820313,19
Tesouro IPCA+ com Juros Semestrais;15/05/2035;15/05/2014;71,855936;146203,67;10505601,55
Tesouro IPCA+ com Juros Semestrais;15/05/2017;15/05/2014;71,855936;75276,56;5409067,68
